hasPeak.An_kdmB_48h_HA_1	hasPeak.An_sntB_48h_HA_1	hasPeak.An_ecoA_48h_HA_1	hasPeak.An_rpdA_48h_HA_1	GO.ID	Term	weightedFisher	Annotated	Significant	Expected	richFactor	log10_pval	Genes
TRUE	FALSE	TRUE	TRUE	GO:0010648	negative regulation of cell communication	0.0351	40	3	1.4	0.075	1.455	AN0978,AN2430,AN5787
TRUE	FALSE	TRUE	TRUE	GO:0022616	DNA strand elongation	0.0351	20	2	0.7	0.1	1.455	AN2446,AN3753
TRUE	FALSE	TRUE	TRUE	GO:0072384	organelle transport along microtubule	0.0351	20	2	0.7	0.1	1.455	AN7547,AN8751
TRUE	FALSE	TRUE	TRUE	GO:0005996	monosaccharide metabolic process	0.0353	114	3	4	0.026	1.452	AN2359,AN3733,AN4372
TRUE	FALSE	TRUE	TRUE	GO:1900772	fumitremorgin B biosynthetic process	0.0376	9	2	0.32	0.222	1.425	AN12402,AN1242
TRUE	FALSE	TRUE	TRUE	GO:0018342	protein prenylation	0.0376	9	2	0.32	0.222	1.425	AN12402,AN3867
TRUE	FALSE	TRUE	TRUE	GO:0031126	snoRNA 3'-end processing	0.0376	9	2	0.32	0.222	1.425	AN4570,AN8671
TRUE	FALSE	TRUE	TRUE	GO:0006071	glycerol metabolic process	0.0452	23	3	0.81	0.13	1.345	AN0034,AN0484,AN0567
TRUE	FALSE	TRUE	TRUE	GO:0044413	avoidance of host defenses	0.046	10	2	0.35	0.2	1.337	AN0182,AN5003
TRUE	TRUE	FALSE	FALSE	GO:0010556	regulation of macromolecule biosynthetic process	0.0098	778	8	4.07	0.01	2.009	AN1303,AN1927,AN4113,AN4279,AN5217,AN6359,AN6837,AN7118
TRUE	TRUE	FALSE	FALSE	GO:1902405	mitotic actomyosin contractile ring localization	0.0259	5	1	0.03	0.2	1.587	AN4278
TRUE	TRUE	FALSE	FALSE	GO:0006020	inositol metabolic process	0.0259	5	1	0.03	0.2	1.587	AN5797
TRUE	TRUE	FALSE	FALSE	GO:0070932	histone H3 deacetylation	0.031	6	1	0.03	0.167	1.509	AN7019
TRUE	TRUE	FALSE	FALSE	GO:1901993	regulation of meiotic cell cycle phase transition	0.031	6	1	0.03	0.167	1.509	AN4279
TRUE	TRUE	FALSE	FALSE	GO:0051055	negative regulation of lipid biosynthetic process	0.031	6	1	0.03	0.167	1.509	AN5217
TRUE	TRUE	FALSE	FALSE	GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	0.031	6	1	0.03	0.167	1.509	AN6359
TRUE	TRUE	FALSE	FALSE	GO:0016042	lipid catabolic process	0.0356	53	2	0.28	0.038	1.449	AN1303,AN4154
TRUE	TRUE	FALSE	FALSE	GO:0000910	cytokinesis	0.0356	81	2	0.42	0.025	1.449	AN3169,AN4278
TRUE	TRUE	FALSE	FALSE	GO:1903466	regulation of mitotic DNA replication initiation	0.036	7	1	0.04	0.143	1.444	AN4279
TRUE	TRUE	FALSE	FALSE	GO:0048478	replication fork protection	0.036	7	1	0.04	0.143	1.444	AN4279
TRUE	TRUE	FALSE	FALSE	GO:0033313	meiotic cell cycle checkpoint	0.036	7	1	0.04	0.143	1.444	AN4279
TRUE	TRUE	FALSE	FALSE	GO:0031365	N-terminal protein amino acid modification	0.0411	8	1	0.04	0.125	1.386	AN12437
TRUE	TRUE	FALSE	FALSE	GO:0071277	cellular response to calcium ion	0.0411	8	1	0.04	0.125	1.386	AN4614
TRUE	TRUE	FALSE	FALSE	GO:0006469	negative regulation of protein kinase activity	0.0411	8	1	0.04	0.125	1.386	AN5217
TRUE	TRUE	FALSE	FALSE	GO:1903828	negative regulation of cellular protein localization	0.0411	8	1	0.04	0.125	1.386	AN4279
TRUE	TRUE	FALSE	FALSE	GO:0006672	ceramide metabolic process	0.0411	8	1	0.04	0.125	1.386	AN11072
TRUE	TRUE	FALSE	FALSE	GO:0046854	phosphatidylinositol phosphorylation	0.0411	8	1	0.04	0.125	1.386	AN4278
TRUE	TRUE	FALSE	FALSE	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	0.0461	9	1	0.05	0.111	1.336	AN6359
TRUE	TRUE	FALSE	FALSE	GO:0019626	short-chain fatty acid catabolic process	0.0461	9	1	0.05	0.111	1.336	AN1303
TRUE	TRUE	FALSE	FALSE	GO:0072595	maintenance of protein localization in organelle	0.0461	9	1	0.05	0.111	1.336	AN4279
TRUE	TRUE	FALSE	FALSE	GO:0051235	maintenance of location	0.0495	39	3	0.2	0.077	1.305	AN11072,AN4278,AN4279
TRUE	TRUE	FALSE	TRUE	GO:0007015	actin filament organization	0.0017	48	8	1.88	0.167	2.77	AN0163,AN0931,AN10515,AN1558,AN2995,AN3735,AN4171,AN5981
TRUE	TRUE	FALSE	TRUE	GO:0051382	kinetochore assembly	0.0029	8	3	0.31	0.375	2.538	AN2302,AN4360,AN8187
TRUE	TRUE	FALSE	TRUE	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	0.0042	9	3	0.35	0.333	2.377	AN1546,AN7104,AN7661
TRUE	TRUE	FALSE	TRUE	GO:0006570	tyrosine metabolic process	0.0042	9	3	0.35	0.333	2.377	AN1898,AN1899,AN5644
TRUE	TRUE	FALSE	TRUE	GO:0044091	membrane biogenesis	0.0045	14	4	0.55	0.286	2.347	AN2302,AN3148,AN5579,AN8769
TRUE	TRUE	FALSE	TRUE	GO:0000909	sporocarp development involved in sexual reproduction	0.0047	110	10	4.32	0.091	2.328	AN0098,AN0931,AN10306,AN10515,AN2269,AN3036,AN3422,AN7104,AN7252,AN7743
TRUE	TRUE	FALSE	TRUE	GO:1900429	negative regulation of filamentous growth of a population of unicellular organisms	0.0057	19	4	0.75	0.211	2.244	AN1069,AN10929,AN1226,AN4745
TRUE	TRUE	FALSE	TRUE	GO:0009166	nucleotide catabolic process	0.0058	35	6	1.37	0.171	2.237	AN0891,AN10663,AN3223,AN5746,AN6251,AN8689
TRUE	TRUE	FALSE	TRUE	GO:0006351	transcription, DNA-templated	0.0065	784	32	30.77	0.041	2.187	AN0096,AN0098,AN0321,AN0333,AN0486,AN0891,AN10120,AN10541,AN11406,AN11962,AN1226,AN1227,AN1232,AN1546,AN2996,AN3224,AN3250,AN3356,AN3422,AN3423,AN3919,AN4013,AN4972,AN5747,AN6684,AN6820,AN7104,AN7342,AN7661,AN8298,AN8426,AN9102
TRUE	TRUE	FALSE	TRUE	GO:0097308	cellular response to farnesol	0.0087	46	6	1.81	0.13	2.06	AN0179,AN2846,AN5324,AN5564,AN5746,AN7590
TRUE	TRUE	FALSE	TRUE	GO:0006644	phospholipid metabolic process	0.0095	125	11	4.91	0.088	2.022	AN0716,AN0929,AN1357,AN1671,AN1769,AN2240,AN2311,AN5159,AN5599,AN6712,AN7661
TRUE	TRUE	FALSE	TRUE	GO:0044416	induction by symbiont of host defense response	0.0101	12	3	0.47	0.25	1.996	AN12478,AN4443,AN5746
TRUE	TRUE	FALSE	TRUE	GO:0009074	aromatic amino acid family catabolic process	0.0127	22	4	0.86	0.182	1.896	AN1898,AN1899,AN5952,AN6338
TRUE	TRUE	FALSE	TRUE	GO:0007231	osmosensory signaling pathway	0.0128	13	3	0.51	0.231	1.893	AN0931,AN2269,AN4745
TRUE	TRUE	FALSE	TRUE	GO:0000027	ribosomal large subunit assembly	0.0133	24	4	0.94	0.167	1.876	AN4471,AN4475,AN6149,AN8856
TRUE	TRUE	FALSE	TRUE	GO:0010525	regulation of transposition, RNA-mediated	0.0142	5	2	0.2	0.4	1.848	AN2269,AN3422
TRUE	TRUE	FALSE	TRUE	GO:0034354	'de novo' NAD biosynthetic process from tryptophan	0.0142	5	2	0.2	0.4	1.848	AN11252,AN5952
TRUE	TRUE	FALSE	TRUE	GO:1905634	regulation of protein localization to chromatin	0.0142	5	2	0.2	0.4	1.848	AN5676,AN6553
TRUE	TRUE	FALSE	TRUE	GO:0000187	activation of MAPK activity	0.0142	5	2	0.2	0.4	1.848	AN0931,AN3422
TRUE	TRUE	FALSE	TRUE	GO:0032365	intracellular lipid transport	0.0142	5	2	0.2	0.4	1.848	AN1059,AN5879
TRUE	TRUE	FALSE	TRUE	GO:0006783	heme biosynthetic process	0.0158	14	3	0.55	0.214	1.801	AN0121,AN2284,AN5130
TRUE	TRUE	FALSE	TRUE	GO:0015908	fatty acid transport	0.0208	6	2	0.24	0.333	1.682	AN1014,AN1059
TRUE	TRUE	FALSE	TRUE	GO:0034316	negative regulation of Arp2/3 complex-mediated actin nucleation	0.0208	6	2	0.24	0.333	1.682	AN2995,AN5981
TRUE	TRUE	FALSE	TRUE	GO:0000256	allantoin catabolic process	0.0208	6	2	0.24	0.333	1.682	AN0891,AN6653
TRUE	TRUE	FALSE	TRUE	GO:0034221	fungal-type cell wall chitin biosynthetic process	0.0208	6	2	0.24	0.333	1.682	AN1069,AN4234
TRUE	TRUE	FALSE	TRUE	GO:0019878	lysine biosynthetic process via aminoadipic acid	0.0208	6	2	0.24	0.333	1.682	AN1990,AN6338
TRUE	TRUE	FALSE	TRUE	GO:0009826	unidimensional cell growth	0.023	16	3	0.63	0.188	1.638	AN0106,AN1558,AN4332
TRUE	TRUE	FALSE	TRUE	GO:0034605	cellular response to heat	0.0237	57	6	2.24	0.105	1.625	AN0931,AN1546,AN2269,AN5324,AN5635,AN7104
TRUE	TRUE	FALSE	TRUE	GO:1905039	carboxylic acid transmembrane transport	0.0272	53	4	2.08	0.075	1.565	AN1014,AN1059,AN2468,AN4287
TRUE	TRUE	FALSE	TRUE	GO:1900443	regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	0.0283	25	3	0.98	0.12	1.548	AN0098,AN0891,AN4745
TRUE	TRUE	FALSE	TRUE	GO:0044805	late nucleophagy	0.0283	7	2	0.27	0.286	1.548	AN0127,AN5131
TRUE	TRUE	FALSE	TRUE	GO:0031939	negative regulation of chromatin silencing at telomere	0.0283	7	2	0.27	0.286	1.548	AN1546,AN5747
TRUE	TRUE	FALSE	TRUE	GO:0032443	regulation of ergosterol biosynthetic process	0.0283	7	2	0.27	0.286	1.548	AN4329,AN7661
TRUE	TRUE	FALSE	TRUE	GO:0097428	protein maturation by iron-sulfur cluster transfer	0.0283	7	2	0.27	0.286	1.548	AN1469,AN5953
TRUE	TRUE	FALSE	TRUE	GO:0000750	pheromone-dependent signal transduction involved in conjugation with cellular fusion	0.0316	18	3	0.71	0.167	1.5	AN2269,AN3422,AN7743
TRUE	TRUE	FALSE	TRUE	GO:0006974	cellular response to DNA damage stimulus	0.032	223	9	8.75	0.04	1.495	AN0582,AN1232,AN1546,AN2163,AN3644,AN5627,AN5747,AN6696,AN7563
TRUE	TRUE	FALSE	TRUE	GO:0071214	cellular response to abiotic stimulus	0.0361	129	11	5.06	0.085	1.442	AN0931,AN1547,AN1769,AN2269,AN3735,AN4745,AN5563,AN5593,AN5635,AN5746,AN6010
TRUE	TRUE	FALSE	TRUE	GO:0045324	late endosome to vacuole transport	0.0368	32	3	1.26	0.094	1.434	AN0127,AN5579,AN5632
TRUE	TRUE	FALSE	TRUE	GO:0045733	acetate catabolic process	0.0368	8	2	0.31	0.25	1.434	AN1059,AN6653
TRUE	TRUE	FALSE	TRUE	GO:1901568	fatty acid derivative metabolic process	0.0368	8	2	0.31	0.25	1.434	AN0593,AN5812
TRUE	TRUE	FALSE	TRUE	GO:0044030	regulation of DNA methylation	0.0368	8	2	0.31	0.25	1.434	AN2848,AN4443
TRUE	TRUE	FALSE	TRUE	GO:0032889	regulation of vacuole fusion, non-autophagic	0.0368	8	2	0.31	0.25	1.434	AN0163,AN5746
TRUE	TRUE	FALSE	TRUE	GO:0006797	polyphosphate metabolic process	0.0368	8	2	0.31	0.25	1.434	AN12017,AN6251
TRUE	TRUE	FALSE	TRUE	GO:0001402	signal transduction involved in filamentous growth	0.0368	8	2	0.31	0.25	1.434	AN2269,AN3422
TRUE	TRUE	FALSE	TRUE	GO:0071474	cellular hyperosmotic response	0.0368	8	2	0.31	0.25	1.434	AN0931,AN5563
TRUE	TRUE	FALSE	TRUE	GO:0045184	establishment of protein localization	0.0385	315	21	12.36	0.067	1.415	AN0411,AN0582,AN0906,AN0931,AN10215,AN1227,AN12305,AN1245,AN1282,AN2266,AN3643,AN3706,AN3919,AN4580,AN5131,AN5579,AN5588,AN5632,AN6010,AN7047,AN8824
TRUE	TRUE	FALSE	TRUE	GO:0006972	hyperosmotic response	0.0391	9	3	0.35	0.333	1.408	AN0931,AN5563,AN5564
TRUE	TRUE	FALSE	TRUE	GO:0071168	protein localization to chromatin	0.0391	10	3	0.39	0.3	1.408	AN3423,AN5676,AN6553
TRUE	TRUE	FALSE	TRUE	GO:1902930	regulation of alcohol biosynthetic process	0.0391	12	3	0.47	0.25	1.408	AN1226,AN4329,AN7661
TRUE	TRUE	FALSE	TRUE	GO:0009743	response to carbohydrate	0.0392	17	2	0.67	0.118	1.407	AN2130,AN5635
TRUE	TRUE	FALSE	TRUE	GO:0070201	regulation of establishment of protein localization	0.0392	23	2	0.9	0.087	1.407	AN0931,AN1227
TRUE	TRUE	FALSE	TRUE	GO:0006164	purine nucleotide biosynthetic process	0.0393	77	4	3.02	0.052	1.406	AN12478,AN3223,AN5746,AN8689
TRUE	TRUE	FALSE	TRUE	GO:0006811	ion transport	0.0395	307	10	12.05	0.033	1.403	AN0471,AN1014,AN1059,AN2468,AN2977,AN3036,AN3361,AN3665,AN4287,AN6088
TRUE	TRUE	FALSE	TRUE	GO:0030433	ubiquitin-dependent ERAD pathway	0.0417	20	3	0.79	0.15	1.38	AN2212,AN2240,AN5747
TRUE	TRUE	FALSE	TRUE	GO:0070787	conidiophore development	0.0441	83	7	3.26	0.084	1.356	AN0098,AN10515,AN2269,AN3422,AN6150,AN7104,AN7661
TRUE	TRUE	FALSE	TRUE	GO:0000086	G2/M transition of mitotic cell cycle	0.0455	63	7	2.47	0.111	1.342	AN0931,AN1546,AN2302,AN4896,AN5627,AN5676,AN7007
TRUE	TRUE	FALSE	TRUE	GO:0045937	positive regulation of phosphate metabolic process	0.0455	40	6	1.57	0.15	1.342	AN0891,AN0931,AN2269,AN3422,AN5676,AN7661
TRUE	TRUE	FALSE	TRUE	GO:0032120	ascospore-type prospore membrane assembly	0.0461	9	2	0.35	0.222	1.336	AN3148,AN5579
TRUE	TRUE	FALSE	TRUE	GO:0031445	regulation of heterochromatin assembly	0.0461	9	2	0.35	0.222	1.336	AN3423,AN5747
TRUE	TRUE	FALSE	TRUE	GO:0098869	cellular oxidant detoxification	0.0461	9	2	0.35	0.222	1.336	AN2846,AN4301
TRUE	TRUE	FALSE	TRUE	GO:0007035	vacuolar acidification	0.0461	9	2	0.35	0.222	1.336	AN2302,AN4332
TRUE	TRUE	FALSE	TRUE	GO:0006998	nuclear envelope organization	0.0461	9	2	0.35	0.222	1.336	AN0411,AN2302
TRUE	TRUE	FALSE	TRUE	GO:0051056	regulation of small GTPase mediated signal transduction	0.0461	35	3	1.37	0.086	1.336	AN2130,AN3438,AN3735
TRUE	TRUE	TRUE	FALSE	GO:0071853	fungal-type cell wall disassembly	0.0064	5	1	0.01	0.2	2.194	AN0472
TRUE	TRUE	TRUE	FALSE	GO:0000920	cell separation after cytokinesis	0.0254	20	1	0.03	0.05	1.595	AN0472
TRUE	TRUE	TRUE	FALSE	GO:0044247	cellular polysaccharide catabolic process	0.0354	28	1	0.04	0.036	1.451	AN0472
TRUE	TRUE	TRUE	FALSE	GO:0006278	RNA-dependent DNA biosynthetic process	0.0391	31	1	0.04	0.032	1.408	AN2796
TRUE	TRUE	TRUE	FALSE	GO:0016998	cell wall macromolecule catabolic process	0.0453	36	1	0.05	0.028	1.344	AN0472
TRUE	TRUE	TRUE	TRUE	GO:0015976	carbon utilization	5.2e-07	24	16	4.63	0.667	6.284	AN0689,AN1017,AN10550,AN1918,AN3597,AN4462,AN5356,AN5604,AN5626,AN5634,AN6195,AN6279,AN6293,AN7468,AN7610,AN9461
TRUE	TRUE	TRUE	TRUE	GO:0030448	hyphal growth	1e-06	188	64	36.24	0.34	6	AN0253,AN0410,AN0640,AN0651,AN0667,AN0863,AN10709,AN11098,AN1123,AN1324,AN1536,AN1539,AN1555,AN1628,AN1733,AN1848,AN2009,AN2067,AN2489,AN2516,AN2523,AN2701,AN2901,AN3113,AN3416,AN3683,AN3719,AN3730,AN3787,AN3795,AN4189,AN4416,AN4566,AN4667,AN4685,AN4702,AN4743,AN4935,AN4987,AN5296,AN5457,AN5651,AN5660,AN5740,AN5803,AN5832,AN5836,AN6037,AN6195,AN6243,AN6317,AN6318,AN6330,AN6566,AN6685,AN6688,AN6697,AN7030,AN7487,AN7572,AN7576,AN8831,AN8863,AN9450
TRUE	TRUE	TRUE	TRUE	GO:0006355	regulation of transcription, DNA-templated	4.1e-06	687	187	132.44	0.272	5.387	AN0148,AN0162,AN0176,AN0253,AN0263,AN0279,AN0364,AN0410,AN0440,AN0554,AN0680,AN0689,AN0742,AN0748,AN0766,AN0863,AN0902,AN0928,AN0988,AN10019,AN10059,AN10128,AN1017,AN10191,AN10378,AN10548,AN10550,AN1060,AN10610,AN10763,AN10854,AN10911,AN10912,AN11098,AN11099,AN11112,AN11165,AN1170,AN11753,AN11891,AN11961,AN12120,AN1217,AN1339,AN1402,AN1406,AN1414,AN1416,AN1425,AN1485,AN1518,AN1536,AN1678,AN1800,AN1812,AN1848,AN1893,AN1924,AN1984,AN2001,AN2009,AN2016,AN2020,AN2025,AN2036,AN2290,AN2375,AN2421,AN2426,AN2489,AN2500,AN2581,AN2597,AN2761,AN2852,AN2855,AN2902,AN2905,AN2911,AN2944,AN2984,AN3048,AN3067,AN3071,AN3075,AN3102,AN3152,AN3214,AN3369,AN3433,AN3468,AN3506,AN3587,AN3607,AN3637,AN3675,AN3683,AN3684,AN3688,AN3730,AN3769,AN3835,AN3911,AN4034,AN4175,AN4210,AN4247,AN4324,AN4335,AN4361,AN4479,AN4501,AN4521,AN4558,AN4741,AN4744,AN4900,AN4935,AN4976,AN4985,AN4987,AN5170,AN5279,AN5296,AN5349,AN5351,AN5651,AN5691,AN5752,AN5775,AN5836,AN5849,AN5870,AN5893,AN5898,AN5924,AN5955,AN6062,AN6091,AN6129,AN6195,AN6293,AN6392,AN6733,AN6849,AN6858,AN6982,AN7012,AN7050,AN7103,AN7190,AN7297,AN7303,AN7332,AN7468,AN7475,AN7507,AN7513,AN7545,AN7572,AN7610,AN7872,AN7951,AN8039,AN8079,AN8111,AN8129,AN8164,AN8168,AN8186,AN8211,AN8251,AN8282,AN8414,AN8473,AN8590,AN8636,AN8643,AN8655,AN8667,AN8694,AN8885,AN8978,AN9008,AN9025,AN9095,AN9397
TRUE	TRUE	TRUE	TRUE	GO:0034605	cellular response to heat	9.3e-06	57	26	10.99	0.456	5.032	AN0858,AN1017,AN1652,AN2731,AN2761,AN2911,AN3583,AN3592,AN3725,AN4189,AN4310,AN4467,AN4501,AN4897,AN4987,AN5129,AN5523,AN5755,AN5975,AN6293,AN6849,AN6892,AN7388,AN7572,AN8269,AN8643
TRUE	TRUE	TRUE	TRUE	GO:0009405	pathogenesis	3.4e-05	143	48	27.57	0.336	4.469	AN0253,AN0609,AN0807,AN1017,AN10763,AN1085,AN1131,AN1358,AN1418,AN1428,AN1502,AN1555,AN2067,AN2516,AN3583,AN3719,AN3729,AN3730,AN3765,AN4361,AN4390,AN4419,AN4479,AN4501,AN4515,AN4685,AN4915,AN4987,AN5296,AN5634,AN5803,AN5832,AN5918,AN6230,AN6293,AN6541,AN6566,AN6892,AN7050,AN7111,AN7170,AN7250,AN7468,AN7487,AN8251,AN8269,AN8741,AN9397
TRUE	TRUE	TRUE	TRUE	GO:0006313	transposition, DNA-mediated	6.5e-05	8	7	1.54	0.875	4.187	AN0263,AN10066,AN10329,AN3048,AN4335,AN5956,AN8186
TRUE	TRUE	TRUE	TRUE	GO:0019521	D-gluconate metabolic process	0.00018	16	10	3.08	0.625	3.745	AN0285,AN1414,AN2493,AN3641,AN4055,AN5918,AN7388,AN8553,AN8977,AN9339
TRUE	TRUE	TRUE	TRUE	GO:0071901	negative regulation of protein serine/threonine kinase activity	0.00027	5	5	0.96	1	3.569	AN0988,AN1358,AN4987,AN6892,AN6982
TRUE	TRUE	TRUE	TRUE	GO:0055075	potassium ion homeostasis	0.00027	5	5	0.96	1	3.569	AN4478,AN5583,AN7250,AN8029,AN8830
TRUE	TRUE	TRUE	TRUE	GO:0045807	positive regulation of endocytosis	0.00027	5	5	0.96	1	3.569	AN0056,AN1089,AN1339,AN3729,AN5740
TRUE	TRUE	TRUE	TRUE	GO:0048315	conidium formation	3e-04	132	50	25.45	0.379	3.523	AN0279,AN0363,AN0410,AN0651,AN0863,AN1017,AN1052,AN10610,AN1189,AN1324,AN1485,AN1536,AN1539,AN1555,AN1848,AN2009,AN2421,AN2489,AN2523,AN2740,AN2742,AN2911,AN3416,AN3607,AN3688,AN3719,AN4189,AN4563,AN4566,AN4695,AN4935,AN4987,AN5156,AN5296,AN5755,AN5757,AN5836,AN5893,AN6037,AN6230,AN6243,AN6317,AN6318,AN6566,AN7030,AN7657,AN7757,AN8129,AN9121,AN9339
TRUE	TRUE	TRUE	TRUE	GO:0000768	syncytium formation by plasma membrane fusion	0.00039	29	14	5.59	0.483	3.409	AN10261,AN1848,AN2701,AN3719,AN4189,AN4264,AN4702,AN4743,AN5169,AN5457,AN5458,AN5776,AN7297,AN8831
TRUE	TRUE	TRUE	TRUE	GO:0071470	cellular response to osmotic stress	0.00042	58	26	11.18	0.448	3.377	AN0351,AN0423,AN0554,AN0641,AN1017,AN10763,AN1358,AN1624,AN1800,AN2005,AN2911,AN2919,AN2997,AN3583,AN3688,AN3725,AN4479,AN4483,AN5129,AN6318,AN6892,AN6982,AN7799,AN7895,AN8690,AN8692
TRUE	TRUE	TRUE	TRUE	GO:0075306	regulation of conidium formation	0.00044	36	17	6.94	0.472	3.357	AN0279,AN0363,AN0651,AN1052,AN2421,AN2742,AN3607,AN3688,AN4563,AN5156,AN5296,AN5836,AN5893,AN6230,AN6243,AN8129,AN9121
TRUE	TRUE	TRUE	TRUE	GO:0006357	regulation of transcription by RNA polymerase II	0.00066	226	66	43.57	0.292	3.18	AN0253,AN0279,AN0410,AN0440,AN0689,AN0988,AN10019,AN10059,AN1017,AN10191,AN10550,AN1060,AN10763,AN10854,AN1170,AN11961,AN1339,AN1416,AN1425,AN1485,AN1518,AN2290,AN2421,AN2426,AN2489,AN2761,AN2852,AN2855,AN2902,AN2905,AN2911,AN2944,AN3468,AN3506,AN3675,AN3688,AN4210,AN4501,AN4558,AN4741,AN4935,AN4976,AN4987,AN5651,AN5752,AN5836,AN5893,AN6129,AN6195,AN6293,AN6733,AN7050,AN7103,AN7297,AN7303,AN7468,AN7513,AN7572,AN7610,AN8039,AN8168,AN8251,AN8282,AN8978,AN9095,AN9397
TRUE	TRUE	TRUE	TRUE	GO:0070301	cellular response to hydrogen peroxide	0.00066	18	10	3.47	0.556	3.18	AN0363,AN0609,AN0757,AN3688,AN4758,AN5523,AN5918,AN6849,AN8643,AN9339
TRUE	TRUE	TRUE	TRUE	GO:0006334	nucleosome assembly	0.00067	17	11	3.28	0.647	3.174	AN0733,AN0734,AN2426,AN3067,AN3468,AN3469,AN6554,AN8039,AN8170,AN8282,AN8863
TRUE	TRUE	TRUE	TRUE	GO:0006826	iron ion transport	0.001	13	7	2.51	0.538	3	AN0176,AN3690,AN4990,AN5378,AN7297,AN8251,AN8683
TRUE	TRUE	TRUE	TRUE	GO:0001676	long-chain fatty acid metabolic process	0.001	8	6	1.54	0.75	3	AN6014,AN6126,AN6752,AN7050,AN8280,AN9408
TRUE	TRUE	TRUE	TRUE	GO:0015074	DNA integration	0.00108	25	12	4.82	0.48	2.967	AN0263,AN10066,AN10256,AN10329,AN10649,AN2670,AN3048,AN4289,AN4335,AN4976,AN5956,AN8186
TRUE	TRUE	TRUE	TRUE	GO:0010914	positive regulation of sterigmatocystin biosynthetic process	0.00111	16	9	3.08	0.562	2.955	AN0363,AN0807,AN1052,AN2742,AN3607,AN3719,AN5893,AN6243,AN8741
TRUE	TRUE	TRUE	TRUE	GO:0006875	cellular metal ion homeostasis	0.00131	76	27	14.65	0.355	2.883	AN0176,AN0607,AN1189,AN1628,AN1950,AN2508,AN2919,AN3681,AN4655,AN4814,AN4920,AN4990,AN5132,AN5341,AN5378,AN5583,AN5856,AN6107,AN6293,AN6541,AN6566,AN7250,AN7468,AN7567,AN8029,AN8251,AN8830
TRUE	TRUE	TRUE	TRUE	GO:0043405	regulation of MAP kinase activity	0.00133	13	7	2.51	0.538	2.876	AN1358,AN4189,AN4702,AN5660,AN5740,AN6892,AN6982
TRUE	TRUE	TRUE	TRUE	GO:0071396	cellular response to lipid	0.00136	50	18	9.64	0.36	2.866	AN0771,AN0797,AN1037,AN10949,AN1396,AN1800,AN2435,AN4159,AN4376,AN4467,AN4479,AN4667,AN4695,AN5129,AN5886,AN5999,AN8269,AN8863
TRUE	TRUE	TRUE	TRUE	GO:0030004	cellular monovalent inorganic cation homeostasis	0.00138	16	5	3.08	0.312	2.86	AN1339,AN5583,AN7250,AN8029,AN8830
TRUE	TRUE	TRUE	TRUE	GO:0044275	cellular carbohydrate catabolic process	0.00191	66	25	12.72	0.379	2.719	AN0787,AN10060,AN1015,AN10420,AN10550,AN10599,AN11778,AN2017,AN3201,AN3368,AN3369,AN3515,AN3641,AN4102,AN4691,AN4843,AN5672,AN5985,AN6035,AN6697,AN7610,AN8138,AN8347,AN9064,AN9340
TRUE	TRUE	TRUE	TRUE	GO:0034599	cellular response to oxidative stress	0.00217	121	44	23.33	0.364	2.664	AN0170,AN0363,AN0423,AN0607,AN0609,AN0757,AN0771,AN0914,AN0988,AN1017,AN10949,AN1131,AN1401,AN1632,AN1652,AN2099,AN2911,AN3102,AN3688,AN3725,AN3793,AN3973,AN4483,AN4758,AN4987,AN5447,AN5523,AN5755,AN5803,AN5918,AN5975,AN5991,AN6849,AN7513,AN7567,AN7572,AN8251,AN8414,AN8643,AN8692,AN8805,AN8837,AN9090,AN9339
TRUE	TRUE	TRUE	TRUE	GO:0043936	asexual sporulation resulting in formation of a cellular spore	0.00218	73	31	14.07	0.425	2.662	AN0082,AN0186,AN0641,AN0787,AN10030,AN1017,AN1037,AN1052,AN1555,AN1632,AN2059,AN2067,AN2505,AN2742,AN2919,AN2936,AN3113,AN3470,AN4501,AN4897,AN4987,AN5028,AN5660,AN5740,AN5836,AN5893,AN6318,AN6578,AN6731,AN8741,AN8945
TRUE	TRUE	TRUE	TRUE	GO:0035690	cellular response to drug	0.00226	204	62	39.33	0.304	2.646	AN0363,AN0595,AN0609,AN0651,AN0757,AN0771,AN0927,AN1017,AN10709,AN10763,AN1085,AN10949,AN11705,AN1189,AN12054,AN1518,AN1743,AN2210,AN2300,AN2997,AN3113,AN3368,AN3506,AN3688,AN3719,AN3729,AN4189,AN4277,AN4390,AN4707,AN4758,AN4894,AN5119,AN5296,AN5341,AN5378,AN5493,AN5523,AN5660,AN5740,AN5888,AN5918,AN5985,AN6118,AN6129,AN6207,AN6293,AN6330,AN6566,AN6849,AN7146,AN7513,AN7657,AN8269,AN8414,AN8489,AN8502,AN8643,AN8793,AN9339,AN9340,AN9408
TRUE	TRUE	TRUE	TRUE	GO:0043941	positive regulation of sexual sporulation resulting in formation of a cellular spore	0.0025	14	8	2.7	0.571	2.602	AN0363,AN0807,AN1052,AN3152,AN3607,AN3719,AN5028,AN9121
TRUE	TRUE	TRUE	TRUE	GO:0006541	glutamine metabolic process	0.00393	7	5	1.35	0.714	2.406	AN0565,AN2243,AN4159,AN4376,AN5134
