SM_gene	Chr	Start	End	Name	Score	Strand	SM_cluster
AN11210	ChrVIII_A_nidulans_FGSC_A4	224077	224877	AN11210	0	+	SM_cluster_46
AN11215	ChrVIII_A_nidulans_FGSC_A4	225404	225946	AN11215	0	+	SM_cluster_46
AN9280	ChrVIII_A_nidulans_FGSC_A4	162754	164482	AN9280	0	-	SM_cluster_46
AN9281	ChrVIII_A_nidulans_FGSC_A4	164836	165538	AN9281	0	-	SM_cluster_46
AN9282	ChrVIII_A_nidulans_FGSC_A4	165902	167878	AN9282	0	+	SM_cluster_46
AN9283	ChrVIII_A_nidulans_FGSC_A4	170524	172823	AN9283	0	-	SM_cluster_46
AN9284	ChrVIII_A_nidulans_FGSC_A4	173143	173957	AN9284	0	+	SM_cluster_46
AN9285	ChrVIII_A_nidulans_FGSC_A4	174224	174556	AN9285	0	-	SM_cluster_46
AN9286	ChrVIII_A_nidulans_FGSC_A4	175218	177761	AN9286	0	-	SM_cluster_46
AN9287	ChrVIII_A_nidulans_FGSC_A4	178170	179617	AN9287	0	+	SM_cluster_46
AN9288	ChrVIII_A_nidulans_FGSC_A4	180588	181791	AN9288	0	+	SM_cluster_46
AN9289	ChrVIII_A_nidulans_FGSC_A4	181970	183792	AN9289	0	-	SM_cluster_46
AN9290	ChrVIII_A_nidulans_FGSC_A4	185506	186072	AN9290	0	-	SM_cluster_46
AN9292	ChrVIII_A_nidulans_FGSC_A4	193486	194731	AN9292	0	+	SM_cluster_46
AN9293	ChrVIII_A_nidulans_FGSC_A4	195166	197064	AN9293	0	+	SM_cluster_46
AN9294	ChrVIII_A_nidulans_FGSC_A4	197911	199597	AN9294	0	+	SM_cluster_46
AN9295	ChrVIII_A_nidulans_FGSC_A4	202772	204310	AN9295	0	+	SM_cluster_46
AN9296	ChrVIII_A_nidulans_FGSC_A4	206686	208079	AN9296	0	+	SM_cluster_46
AN9297	ChrVIII_A_nidulans_FGSC_A4	210686	212532	AN9297	0	+	SM_cluster_46
AN9298	ChrVIII_A_nidulans_FGSC_A4	214144	215449	AN9298	0	+	SM_cluster_46
AN9299	ChrVIII_A_nidulans_FGSC_A4	217340	218176	AN9299	0	-	SM_cluster_46
AN9300	ChrVIII_A_nidulans_FGSC_A4	220919	223124	AN9300	0	-	SM_cluster_46
AN9302	ChrVIII_A_nidulans_FGSC_A4	226194	228473	AN9302	0	-	SM_cluster_46
AN9303	ChrVIII_A_nidulans_FGSC_A4	229089	230157	AN9303	0	-	SM_cluster_46
AN9304	ChrVIII_A_nidulans_FGSC_A4	232264	233046	AN9304	0	+	SM_cluster_46
AN9305	ChrVIII_A_nidulans_FGSC_A4	233271	234892	AN9305	0	-	SM_cluster_46
AN9306	ChrVIII_A_nidulans_FGSC_A4	235546	236903	AN9306	0	+	SM_cluster_46
AN9307	ChrVIII_A_nidulans_FGSC_A4	237698	238357	AN9307	0	+	SM_cluster_46
